IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
lobo127,174,3,5,5
homa046,175,4,1,1
keno764,176,1,1,1
habe142,177,0,5,5
joti731,178,7,3,3
reve265,179,6,2,2
cyca115,180,2,3,3
rawo522,181,2,3,3
pogi169,182,2,3,3
vepi727,183,0,5,5
risy585,184,8,6,6
fefu774,185,6,2,2
wyxo615,186,0,4,4
ciby707,187,3,4,4
xuvy948,188,2,3,3
ravy196,189,2,3,3
loge702,190,5,6,6
viry492,191,0,5,5
gowa049,192,3,5,5
vyva107,193,6,2,2
duxo262,194,7,3,3
peto053,195,2,3,3
difi858,196,0,4,4
xoru423,197,0,5,5
wizy437,198,2,3,3
kuge219,199,3,4,4
hazu473,200,0,5,5
gono087,201,3,5,5
vury347,202,0,5,5
copo281,203,9,1,1
heda014,204,0,4,4
powu461,205,2,3,3
peqa279,206,0,4,4
lufy687,207,5,6,6
koze985,208,2,3,3
hadi890,209,6,2,2
recu163,210,3,4,4
xyzi642,211,2,3,3
nejy388,212,5,6,6
tezy480,213,6,2,2
nawu690,214,0,4,4
mofe780,215,5,6,6
nily317,216,4,1,1
roho333,217,4,1,1
xime971,218,9,1,1
muqo157,219,4,1,1
riby296,220,8,6,6
pala257,221,0,5,5
tuby409,222,0,4,4
hoxo855,223,5,6,6
qixy634,224,2,3,3
niri091,225,3,0,0
lazi600,226,6,4,4
qedo478,227,5,6,6
ruhu758,228,0,4,4
cima563,229,2,3,3
lyzy104,230,5,6,6
xafy802,231,0,5,5
bacy598,232,1,1,1
kexi927,233,1,1,1
cumo221,234,0,5,5
kami789,235,5,6,6
zoko875,236,6,4,4
sina926,237,6,4,4
fise899,238,0,5,5
cija437,239,6,4,4
manu258,240,3,4,4
zuwa573,241,0,4,4
joxi410,242,9,1,1
muta539,243,7,3,3
reqy562,244,2,3,3
doxe492,245,0,4,4
gylu244,246,1,1,1
maxy370,247,3,4,4
ryko512,248,2,3,3
kula014,249,0,4,4
jeqy595,250,9,1,1
