IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
vizo712,361,1,2,2
givi158,362,0,2,2
caro445,363,1,1,1
nene689,364,1,2,2
ryfy568,365,1,3,3
johy783,366,1,1,1
sulo956,367,1,1,1
gony054,368,1,3,3
puca767,369,1,3,3
baky109,370,1,1,1
mabo887,371,1,1,1
cona428,372,0,2,2
lilo882,373,1,3,3
gycy436,374,1,1,1
jyri631,375,1,2,2
safu128,376,0,2,2
fore104,377,0,2,2
zabe850,378,1,2,2
woci389,379,1,3,3
kygi723,380,1,2,2
qejy219,381,1,2,2
jago498,382,1,2,2
buby593,383,1,3,3
dapu822,384,1,1,1
sugu976,385,1,1,1
wuxa997,386,0,0,0
tiqy778,387,1,4,4
xyfe491,388,1,1,1
ryhy064,389,1,1,1
kufi222,390,1,2,2
xaja332,391,1,2,2
fofa613,392,1,1,1
viba035,393,1,2,2
qewy924,394,1,2,2
pytu496,395,1,1,1
tosa657,396,1,4,4
keri121,397,1,1,1
bofi991,398,1,2,2
bihi184,399,0,2,2
piro376,400,1,1,1
zejy480,401,1,2,2
zapy404,402,1,1,1
lusi512,403,1,1,1
sedo490,404,1,1,1
davu999,405,1,3,3
buby236,406,0,0,0
weru214,407,1,3,3
tyly265,408,0,0,0
nise834,409,0,2,2
voxy002,410,1,1,1
fypi681,411,1,2,2
xopa120,412,1,1,1
wari483,413,1,1,1
kegy317,414,1,3,3
geka905,415,1,3,3
lore323,416,0,2,2
vane668,417,1,4,4
zuxy510,418,1,1,1
masu336,419,1,3,3
xise560,420,1,2,2
zomi496,421,1,2,2
lilu285,422,1,1,1
heqi003,423,0,2,2
jise415,424,1,4,4
vabe169,425,1,3,3
kofa904,426,1,1,1
peqo117,427,1,2,2
gaho243,428,1,1,1
mude815,429,1,1,1
raxe285,430,1,1,1
qami382,431,1,2,2
bebo956,432,1,1,1
cofi309,433,1,3,3
buqe642,434,1,2,2
vuzo690,435,0,2,2
posy958,436,1,1,1
gaga585,437,1,1,1
vopa930,438,1,3,3
xutu412,439,0,2,2
doxi119,440,0,2,2
feqy379,441,1,2,2
xypo299,442,1,1,1
gahu141,443,0,2,2
kyse146,444,1,4,4
sedi312,445,0,2,2
nasi298,446,1,4,4
naky151,447,0,2,2
koqa816,448,1,1,1
sila763,449,1,1,1
pody147,450,1,3,3
voza333,451,1,4,4
tiro932,452,1,2,2
wujy562,453,0,2,2
hamu369,454,1,2,2
nape687,455,0,2,2
gevi782,456,1,1,1
qoha890,457,0,2,2
fili803,458,1,3,3
puce552,459,1,1,1
buny935,460,1,1,1
pimi228,461,1,3,3
kyjo289,462,1,2,2
bepo134,463,1,1,1
kise589,464,1,3,3
remi231,465,1,1,1
qyjo579,466,1,3,3
cyhu257,467,1,1,1
diha837,468,1,1,1
ware232,469,1,4,4
hyge979,470,1,2,2
biqe951,471,1,1,1
jide437,472,1,1,1
zipu412,473,1,3,3
vate767,474,1,4,4
mefy253,475,1,2,2
qafe413,476,1,2,2
lota555,477,1,2,2
mecu237,478,0,2,2
cidy099,479,1,4,4
xoba600,480,1,2,2
joce161,481,1,1,1
kywu572,482,1,3,3
jefi901,483,1,1,1
mari840,484,1,1,1
nypy058,485,1,2,2
rino885,486,1,3,3
maju644,487,0,2,2
qosy291,488,1,2,2
posy537,489,1,1,1
xoki390,490,1,2,2
fagi164,491,1,1,1
zozy719,492,1,1,1
bopa107,493,0,2,2
jyly989,494,1,3,3
togu404,495,1,1,1
gosa272,496,1,1,1
fovo989,497,1,2,2
sira606,498,1,1,1
loby351,499,1,1,1
fike806,500,1,1,1
fafe171,501,1,1,1
zyvo780,502,1,3,3
xune455,503,0,2,2
vamu972,504,0,2,2
suzo040,505,1,1,1
wype120,506,1,2,2
jicu869,507,1,2,2
wero373,508,0,2,2
juqo313,509,1,2,2
vexo008,510,0,2,2
punu787,511,1,1,1
tomo782,512,1,2,2
cupe992,513,0,2,2
kyjo535,514,1,1,1
raja244,515,1,1,1
pino324,516,1,1,1
qutu379,517,1,2,2
nolu547,518,0,2,2
cape571,519,1,1,1
coma628,520,1,2,2
mida684,521,1,4,4
gaqe214,522,1,3,3
pufe463,523,1,1,1
fifa517,524,1,4,4
wuzy577,525,1,1,1
sire515,526,0,0,0
xyhi085,527,1,1,1
nexy906,528,1,2,2
pyzi618,529,1,1,1
muku118,530,1,2,2
kewi488,531,1,2,2
xafu780,532,0,0,0
wowy820,533,1,1,1
ryzo168,534,1,3,3
xavy753,535,1,1,1
deje129,536,1,1,1
