IDCode,index,narrative_gmm_bic_best_label,narrative_best_label
tuby409,222,9,9
hoxo855,223,3,3
qixy634,224,7,7
niri091,225,4,4
lazi600,226,6,6
qedo478,227,2,2
ruhu758,228,7,7
cima563,229,7,7
lyzy104,230,0,0
xafy802,231,0,0
bacy598,232,5,5
kexi927,233,5,5
cumo221,234,6,6
kami789,235,2,2
zoko875,236,6,6
sina926,237,8,8
fise899,238,0,0
cija437,239,8,8
manu258,240,7,7
zuwa573,241,6,6
joxi410,242,3,3
muta539,243,1,1
reqy562,244,7,7
doxe492,245,7,7
gylu244,246,2,2
maxy370,247,6,6
ryko512,248,7,7
kula014,249,7,7
jeqy595,250,2,2
guva627,251,6,6
lohy238,252,6,6
cobi870,253,2,2
giki066,254,1,1
hywy001,255,8,8
feji918,256,7,7
luli756,257,4,4
wumu083,258,7,7
cyga680,259,1,1
buvy316,260,0,0
rejy122,261,7,7
dusi300,262,7,7
howe436,263,7,7
ropi792,264,1,1
jemy300,265,8,8
qexo432,266,4,4
kyso927,267,9,9
cozi663,268,5,5
vani542,269,8,8
kaxu871,270,6,6
moku835,271,8,8
cahe192,272,1,1
feso129,273,8,8
tufa140,274,1,1
zigi489,275,5,5
dahi696,276,1,1
quhe482,277,5,5
taxa827,278,8,8
vuga321,279,4,4
nycu731,280,1,1
raxy329,281,9,9
nyfe489,282,6,6
texu966,283,5,5
kifo712,284,5,5
pajo050,285,0,0
hefy659,286,5,5
tujy672,287,1,1
cyfe247,288,5,5
xori482,289,8,8
raje697,290,7,7
biwu043,291,2,2
cylu852,292,0,0
fode209,293,0,0
woju333,294,0,0
saca329,295,6,6
jizi110,296,4,4
vyxi492,297,9,9
xehy451,298,0,0
feke878,299,3,3
rozu771,300,0,0
duvi856,301,6,6
nexu635,302,4,4
cozi454,303,3,3
saze236,304,0,0
quzy338,305,0,0
lula174,306,6,6
buzo685,307,2,2
huby293,308,7,7
dyhi182,309,0,0
tatu362,310,7,7
bene344,311,4,4
keho061,312,2,2
vyxy108,313,4,4
zusa663,314,6,6
nehe056,315,9,9
myve834,316,9,9
tyhy481,317,3,3
sati762,318,4,4
biku776,319,2,2
wify666,320,6,6
sony276,321,6,6
tusi463,322,4,4
baco446,323,2,2
coni238,324,6,6
tuvu087,325,2,2
vuci475,326,2,2
seto741,327,5,5
jewe923,328,6,6
jaqy340,329,4,4
pubu440,330,5,5
gyjy255,331,4,4
zyte492,332,9,9
ruco451,333,2,2
loda300,334,8,8
moly152,335,2,2
cuba307,336,4,4
jupo405,337,2,2
xuke183,338,8,8
mado232,339,3,3
zafy372,340,6,6
gyly160,341,5,5
tapi010,342,5,5
gelu604,343,1,1
qiqi041,344,2,2
ratu271,345,9,9
kyqu130,346,1,1
lucu601,347,1,1
kama922,348,4,4
zoma564,349,8,8
puju088,350,0,0
jufy997,351,7,7
wyja070,352,4,4
dasy955,353,8,8
wyki565,354,5,5
garu074,355,8,8
qyxy586,356,6,6
kegi864,357,9,9
gyge774,358,9,9
vyda893,359,5,5
vuvy608,360,6,6
vizo712,361,8,8
givi158,362,3,3
caro445,363,6,6
nene689,364,6,6
ryfy568,365,5,5
johy783,366,3,3
sulo956,367,3,3
gony054,368,6,6
puca767,369,0,0
baky109,370,2,2
mabo887,371,4,4
cona428,372,6,6
lilo882,373,4,4
gycy436,374,4,4
jyri631,375,7,7
safu128,376,7,7
fore104,377,6,6
zabe850,378,6,6
woci389,379,0,0
kygi723,380,7,7
qejy219,381,6,6
jago498,382,6,6
buby593,383,1,1
dapu822,384,7,7
sugu976,385,5,5
wuxa997,386,3,3
tiqy778,387,1,1
xyfe491,388,2,2
ryhy064,389,9,9
kufi222,390,8,8
xaja332,391,4,4
fofa613,392,5,5
viba035,393,2,2
qewy924,394,8,8
pytu496,395,8,8
tosa657,396,8,8
keri121,397,1,1
bofi991,398,2,2
bihi184,399,5,5
piro376,400,0,0
zejy480,401,2,2
zapy404,402,3,3
lusi512,403,0,0
sedo490,404,2,2
davu999,405,4,4
buby236,406,3,3
weru214,407,8,8
tyly265,408,3,3
nise834,409,2,2
voxy002,410,5,5
fypi681,411,4,4
xopa120,412,5,5
wari483,413,3,3
kegy317,414,8,8
geka905,415,0,0
lore323,416,2,2
vane668,417,7,7
zuxy510,418,5,5
masu336,419,8,8
xise560,420,4,4
zomi496,421,3,3
lilu285,422,3,3
heqi003,423,3,3
jise415,424,1,1
vabe169,425,6,6
kofa904,426,3,3
peqo117,427,5,5
gaho243,428,0,0
mude815,429,5,5
raxe285,430,5,5
qami382,431,6,6
bebo956,432,3,3
cofi309,433,7,7
buqe642,434,9,9
vuzo690,435,0,0
posy958,436,6,6
gaga585,437,8,8
vopa930,438,4,4
xutu412,439,6,6
doxi119,440,2,2
feqy379,441,6,6
xypo299,442,3,3
gahu141,443,8,8
kyse146,444,6,6
sedi312,445,4,4
nasi298,446,6,6
naky151,447,3,3
koqa816,448,6,6
sila763,449,6,6
pody147,450,9,9
voza333,451,6,6
tiro932,452,4,4
wujy562,453,6,6
hamu369,454,7,7
nape687,455,3,3
gevi782,456,0,0
qoha890,457,1,1
fili803,458,1,1
puce552,459,2,2
buny935,460,8,8
pimi228,461,4,4
kyjo289,462,0,0
bepo134,463,6,6
kise589,464,7,7
remi231,465,0,0
qyjo579,466,4,4
cyhu257,467,2,2
diha837,468,8,8
ware232,469,7,7
hyge979,470,6,6
biqe951,471,4,4
jide437,472,6,6
zipu412,473,1,1
vate767,474,9,9
mefy253,475,7,7
qafe413,476,5,5
lota555,477,5,5
mecu237,478,4,4
cidy099,479,1,1
xoba600,480,9,9
joce161,481,5,5
kywu572,482,1,1
jefi901,483,8,8
mari840,484,4,4
nypy058,485,5,5
rino885,486,8,8
maju644,487,3,3
qosy291,488,8,8
posy537,489,1,1
xoki390,490,3,3
fagi164,491,2,2
zozy719,492,6,6
bopa107,493,1,1
jyly989,494,8,8
togu404,495,4,4
gosa272,496,2,2
fovo989,497,9,9
sira606,498,6,6
loby351,499,4,4
fike806,500,8,8
fafe171,501,3,3
zyvo780,502,6,6
xune455,503,8,8
vamu972,504,9,9
suzo040,505,0,0
wype120,506,8,8
jicu869,507,2,2
wero373,508,6,6
juqo313,509,1,1
vexo008,510,3,3
punu787,511,3,3
tomo782,512,2,2
cupe992,513,2,2
kyjo535,514,8,8
raja244,515,4,4
pino324,516,0,0
qutu379,517,3,3
nolu547,518,3,3
cape571,519,2,2
coma628,520,0,0
mida684,521,9,9
gaqe214,522,8,8
pufe463,523,9,9
fifa517,524,8,8
wuzy577,525,1,1
sire515,526,9,9
xyhi085,527,1,1
nexy906,528,1,1
pyzi618,529,9,9
muku118,530,8,8
kewi488,531,8,8
xafu780,532,5,5
wowy820,533,3,3
ryzo168,534,4,4
xavy753,535,3,3
deje129,536,3,3
